"_id__$oid","last_updated__$date","|","|__odour","|__time","|__ph","|__total_alkalinity","|__mlss","|__do","|__percent_settlement","|__svi","|__cod","|__tss","|__ammonia","|__phosphate","|__sulphide","|__bod","|__dosing_mode","|__flow","|__applied_dose","|__fecl3_concentration_percent","|__fecl3_consumption","|__fecl3_concentration_ppm","|__dose_rate","|__$date","|__$oid","is_deleted","custom_dosing_data__dosing_mode","custom_dosing_data__flow","custom_dosing_data__applied_dose","custom_dosing_data__fecl3_concentration_percent","custom_dosing_data__fecl3_consumption","custom_dosing_data__fecl3_concentration_ppm","custom_dosing_data__dose_rate","raw_sewage__odour","raw_sewage__time","raw_sewage__ph","raw_sewage__cod","raw_sewage__tss","raw_sewage__ammonia","raw_sewage__phosphate","raw_sewage__sulphide","raw_sewage__bod","inlet_channel__odour","inlet_channel__time","inlet_channel__ph","inlet_channel__cod","inlet_channel__tss","inlet_channel__ammonia","inlet_channel__phosphate","inlet_channel__sulphide","inlet_channel__bod","inlet__odour","inlet__time","inlet__ph","inlet__cod","inlet__tss","inlet__ammonia","inlet__phosphate","inlet__sulphide","inlet__bod","pst_inlet__odour","pst_inlet__time","pst_inlet__ph","pst_inlet__cod","pst_inlet__tss","pst_inlet__ammonia","pst_inlet__phosphate","pst_inlet__sulphide","pst_inlet__bod","pst_outlet__odour","pst_outlet__time","pst_outlet__ph","pst_outlet__cod","pst_outlet__tss","pst_outlet__ammonia","pst_outlet__phosphate","pst_outlet__sulphide","pst_outlet__bod","at__odour","at__time","at__ph","at__mlss","at__do","at__percent_settlement","at__svi","fst__odour","fst__time","fst__ph","fst__cod","fst__tss","fst__ammonia","fst__phosphate","fst__sulphide","fst__do","remarks","date","user_id","odour_id","analysis_id","createdAt__$date","updatedAt__$date","__v","bod_date_time","updated_by"
"612b495f5d84e2001171b856","2021-08-25T09:25:28.801Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.8125","2.3","10","0.00646875","100000","0.0646875","offensive","","7.2","480","376","44","4.6","4.8","180","mildodour","","7.1","420","344","40","3.6","1.2","176","odourless","","7.1","400","296","36","3","0.6","148","mildodour","","7.2","450","308","38","3.2","2.4","164","mildodour","","7.4","320","212","32","2.8","1.8","142","mildodour","","7.3","1420","0.18","8","56.33802816901409","mildodour","","7.5","200","74","20","2.5","1.2","0.48","","2021-08-29","60f145d12287270012a59b6a","","w668l14vkn","2021-08-29T08:46:23.797Z","2021-08-29T08:47:33.533Z","0","2021-08-26T14:17","null"
"612cad955d84e2001171baca","2021-08-25T09:25:28.801Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.875","2.3","10","0.0066125","100000","0.066125","offensive","","7.2","494","384","45","4","4.2","200","odourless","","7.1","450","356","40","3.8","0.8","180","odourless","","7.3","440","340","40","4.2","0.4","142","mildodour","","7.3","464","328","42","3.6","2.6","164","mildodour","","7.3","380","248","34","2.8","1.8","120","mildodour","","7.4","1150","0.12","10","86.95652173913044","mildodour","","7.5","210","82","22","2.4","1.2","0.42","","2021-08-30","60f145d12287270012a59b6a","","5pkq4wjivz","2021-08-30T10:06:13.303Z","2021-08-30T10:06:55.937Z","0","2021-08-27T15:36","null"
"612e0a5e5d84e2001171c1f8","2021-08-25T09:25:28.801Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.71875","2.3","10","0.006253124999999999","100000","0.06253125","offensive","","7.2","390","376","38","3.4","4","190","odourless","","7.1","370","358","32","3","0.6","165","odourless","","7.3","354","362","30","2.8","0.4","145","mildodour","","7.3","368","370","30","3.2","2.4","160","mildodour","","7.4","310","340","32","2","1.6","90","mildodour","","7.5","1370","0.29","5","36.4963503649635","mildodour","","7.6","174","52","20","1","0.6","0.51","","2021-08-31","60f145d12287270012a59b6a","","y324cyoth3","2021-08-31T10:54:22.203Z","2021-08-31T10:55:57.667Z","0","2021-08-28T16:24","null"
"612f5fc813813b001345ac25","2021-08-31T11:29:33.506Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.859375","2.3","10","0.006576562499999999","100000","0.065765625","offensive","","7.1","350","320","35","3.2","3","185","odourless","","7.2","330","302","30","2.5","0.4","178","odourless","","7.2","318","284","27","2.2","0","157","odourless","","7.3","325","316","25","2","0.8","155","odourless","","7.3","290","272","22","1.5","0.2","103","odourless","","7.4","1560","0.52","5","32.05128205128205","odourless","","7.5","150","49","18","1","0","0.75","","2021-09-01","60f145d12287270012a59b6a","","zqriqu2z8f","2021-09-01T11:11:04.401Z","2021-09-01T11:12:10.018Z","0","2021-08-29T13:41","null"
"6130aa1813813b001345af88","2021-08-31T11:29:33.506Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.890625","2.3","10","0.006648437499999998","100000","0.06648437499999998","mildodour","","7.1","290","290","36","3","2.8","195","odourless","","7.2","260","272","32","2.8","0.4","180","odourless","","7.3","275","258","29","2.2","0","175","odourless","","7.3","270","266","24","2","0.4","165","odourless","","7.5","240","232","22","1.5","0.2","120","odourless","","7.5","1330","0.18","5","37.59398496240601","odourless","","7.6","90","42","15","0.7","0","0.29","","2021-09-02","60f145d12287270012a59b6a","","37w2al3h3x","2021-09-02T10:40:24.396Z","2021-09-02T10:41:26.735Z","0","2021-08-30T13:10","null"
"6131f75912fa290012882609","2021-09-02T13:20:41.657Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.75","2.3","10","0.006324999999999998","100000","0.06324999999999999","offensive","","7.1","310","324","40","4.2","3.2","190","odourless","","7.2","290","288","34","2.9","0.8","183","odourless","","7.2","280","270","30","2.7","0.4","178","mildodour","","7.4","270","272","25","2.8","1.2","187","odourless","","7.4","220","198","20","1.8","0.8","150","odourless","","7.5","1090","0.22","5","45.87155963302752","odourless","","7.5","110","71","18","0.8","0.4","0.37","","2021-09-03","60f145d12287270012a59b6a","","778y2fgg8q","2021-09-03T10:22:17.202Z","2021-09-03T10:23:53.283Z","0","2021-08-31T12:52","null"
"6133405312fa2900128827d9","2021-09-02T13:20:41.657Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.5","2.3","10","0.005750000000000001","100000","0.0575","offensive","","7.2","340","290","38","4","6.8","170","mildodour","","7.1","320","284","35","3.5","1.2","162","odourless","","7.3","300","280","32","3.2","0.8","146","mildodour","","7.4","280","294","30","3.1","2.6","158","mildodour","","7.4","200","130","28","2.4","1.6","124","mildodour","","7.5","1540","0.53","8","51.948051948051955","mildodour","","7.5","140","51","22","1.2","1.2","0.27","","2021-09-04","60f145d12287270012a59b6a","","betnt728em","2021-09-04T09:45:55.057Z","2021-09-04T09:46:52.864Z","0","2021-09-01T15:16","null"
"6134998012fa290012882bf7","2021-09-02T13:20:41.657Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.5625","2.3","10","0.00589375","100000","0.0589375","offensive","","7.2","340","340","40","4.2","5.2","160","odourless","","7.1","280","260","36","3.6","0.8","142","odourless","","7.1","264","248","32","3","0.6","138","mildodour","","7.3","270","264","38","3.4","1.6","147","mildodour","","7.3","220","180","30","3","1.2","120","mildodour","","7.4","1240","0.28","10","80.64516129032258","odourless","","7.5","170","64","26","2.4","0.8","0.16","","2021-09-05","60f145d12287270012a59b6a","","mxln5gv712","2021-09-05T10:18:40.033Z","2021-09-05T10:19:13.583Z","0","2021-09-02T15:48","null"
"6135ee6912fa290012882de8","2021-09-02T13:20:41.657Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.53125","2.3","10","0.005821875","100000","0.05821874999999999","offensive","","7.2","370","368","40","5","4.4","170","mildodour","","7.1","310","354","37","4.8","1.2","150","odourless","","7.2","290","354","35","4.5","0.4","135","mildodour","","7.2","250","348","36","4.6","2","160","mildodour","","7.3","250","220","28","2.2","1.6","100","odourless","","7.4","1260","0.24","5","39.682539682539684","odourless","","7.5","130","70","18","1.8","1.2","0.58","","2021-09-06","60f145d12287270012a59b6a","","oafhr7q8jv","2021-09-06T10:33:13.168Z","2021-09-06T10:34:08.266Z","0","2021-09-03T16:03","null"
"6137427512fa290012882f75","2021-09-02T13:20:41.657Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.546875","2.3","10","0.005857812499999999","100000","0.058578124999999995","offensive","","7.2","390","324","42","4.8","6","150","odourless","","7.1","374","304","35","3.4","1.2","145","odourless","","7.3","360","284","32","3.6","0.8","140","mildodour","","7.3","368","250","28","3.4","2.4","152","mildodour","","7.4","220","248","28","2.6","1.6","70","mildodour","","7.5","2520","0.3","12","47.61904761904761","odourless","","7.6","190","67","20","2.1","1.2","0.6","","2021-09-07","60f145d12287270012a59b6a","","ieat4hzrx5","2021-09-07T10:44:05.056Z","2021-09-07T10:45:17.065Z","0","2021-09-04T16:14","null"
"61388e6a12fa290012883181","2021-09-02T13:20:41.657Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.890625","2.3","10","0.006648437499999998","100000","0.06648437499999998","offensive","","7.2","360","344","42","4.8","5.2","180","odourless","","7.1","364","300","32","4.2","1.2","160","odourless","","7.3","360","284","30","3.2","0.4","130","mildodour","","7.3","264","298","35","4","2","135","mildodour","","7.4","180","210","32","3","1.6","107","odourless","","7.5","2380","0.36","8","33.61344537815126","odourless","","7.6","140","68","28","2.4","1.2","0.46","","2021-09-08","60f145d12287270012a59b6a","","kerortkz6h","2021-09-08T10:20:26.765Z","2021-09-08T10:21:04.066Z","0","2021-09-05T08:50","null"
"6139c9e512fa2900128834a7","2021-09-02T13:20:41.657Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.875","2.3","10","0.0066125","100000","0.066125","offensive","","7.2","320","322","38","4.2","4.4","187","odourless","","7.1","300","310","36","3.6","0.8","180","odourless","","7.1","290","272","32","3.2","0.6","182","mildodour","","7.2","330","304","36","3.8","2.4","160","mildodour","","7.3","240","236","28","2.4","1.2","118","mildodour","","7.3","1780","0.28","10","56.17977528089887","odourless","","7.4","120","60","20","2","0.8","0.62","","2021-09-09","60f145d12287270012a59b6a","","qxkjc7ls8r","2021-09-09T08:46:29.072Z","2021-09-09T08:47:53.119Z","0","2021-09-06T14:16","null"
"613b3bf312fa2900128836bf","2021-09-02T13:20:41.657Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.296875","2.3","10","0.005282812499999999","100000","0.052828125","offensive","","7.2","430","444","40","4.6","3.2","172","odourless","","7.2","390","382","38","4.2","1.2","155","odourless","","7.3","374","314","35","4","0.8","145","offensive","","7.3","380","252","36","3.6","3.2","130","mildodour","","7.4","254","164","24","2.8","2.4","125","mildodour","","7.4","1550","0.12","5","32.25806451612903","mildodour","","7.5","144","44","18","2.2","1.2","0.38","","2021-09-10","60f145d12287270012a59b6a","","oifw6vcyqb","2021-09-10T11:05:23.791Z","2021-09-10T11:07:46.241Z","0","2021-09-07T16:36","null"
"613f2dcd12fa290012883a2d","2021-09-02T13:20:41.657Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.484375","2.3","10","0.0057140625","100000","0.057140625","offensive","","7.2","348","330","36","3.8","4","190","odourless","","7.2","330","298","28","3.5","1.2","185","odourless","","7.3","324","296","26","3.2","0.8","160","mildodour","","7.4","334","360","22","3.6","2.4","136","mildodour","","7.5","240","264","18","2.6","1.2","100","mildodour","","7.5","2340","0.84","10","42.73504273504273","mildodour","","7.6","140","86","15","1.5","1.6","2.56","","2021-09-13","60f145d12287270012a59b6a","","w2tdzcwndq","2021-09-13T10:54:05.062Z","2021-09-13T10:55:09.94Z","0","2021-09-10T16:24","null"
"61406e7c12fa290012883f36","2021-09-02T13:20:41.657Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.5","2.3","10","0.005750000000000001","100000","0.0575","offensive","","7.2","330","290","32","3.6","4","160","mildodour","","7.1","310","274","28","3.4","1.2","154","odourless","","7.1","290","264","24","3","0.6","140","mildodour","","7.2","320","240","30","3.2","2","135","mildodour","","7.3","250","224","24","2.4","1.2","80","mildodour","","7.5","2120","0.42","8","37.73584905660377","odourless","","7.5","130","79","14","1.2","0.8","1.32","","2021-09-14","60f145d12287270012a59b6a","","ux9gdkf5mu","2021-09-14T09:42:20.266Z","2021-09-14T09:43:22.839Z","0","2021-09-11T15:12","null"
"6141cbd05a2b33001319f8b1","2021-09-14T10:26:28.101Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.21875","2.3","10","0.005103124999999999","100000","0.05103124999999999","offensive","","7.2","340","318","36","3.8","4.4","190","mildodour","","7.1","310","292","30","3.5","1.6","185","odourless","","7.1","280","282","26","3.2","0.6","173","mildodour","","7.2","300","240","28","3.6","2.4","168","mildodour","","7.3","230","180","22","2.7","1.6","120","mildodour","","7.4","2060","0.66","10","48.543689320388346","odourless","","7.5","130","72","16","1.4","0.8","0.8","","2021-09-15","60f145d12287270012a59b6a","","dm08hw6lpb","2021-09-15T10:32:48.384Z","2021-09-15T10:34:08.504Z","0","2021-09-12T09:03","null"
"61431c254894db0011504007","2021-09-15T12:50:17.271Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.328125","2.3","10","0.0053546875","100000","0.053546875","offensive","","7.2","300","324","34","3.5","4","172","odourless","","7.1","280","302","28","3","0.6","162","odourless","","7.1","250","282","22","2.8","0.4","153","mildodour","","7.3","270","318","25","3.2","1.6","175","mildodour","","7.3","220","290","16","2.2","1.2","137","mildodour","","7.4","1870","0.84","8","42.780748663101605","odourless","","7.6","90","59","12","1.2","0.8","0.62","","2021-09-16","60f145d12287270012a59b6a","","ix77pzijuy","2021-09-16T10:27:49.24Z","2021-09-16T10:28:33.404Z","0","2021-09-13T10:58","null"
"61446cce4894db001150410f","2021-09-15T12:50:17.271Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.515625","2.3","10","0.005785937499999999","100000","0.05785937499999999","offensive","","7.2","356","348","35","3.6","4.4","162","odourless","","7.1","328","316","30","3.1","0.8","155","odourless","","7.1","310","290","25","2.9","0.6","151","mildodour","","7.3","320","336","27","3.8","2","130","mildodour","","7.4","250","264","16","2.5","1.6","120","odourless","","7.5","1540","0.21","10","64.93506493506493","odourless","","7.5","88","62","12","1.6","1.2","0.29","","2021-09-17","60f145d12287270012a59b6a","","k908bq3883","2021-09-17T10:24:14.455Z","2021-09-17T10:25:21.201Z","0","2021-09-14T11:54","null"
"6145c0bb4894db00115041e4","2021-09-15T12:50:17.271Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.421875","2.3","10","0.0055703125","100000","0.055703125","offensive","","7.2","340","352","40","3.8","4.4","163","odourless","","7.2","320","304","38","3.6","0.8","153","odourless","","7.3","310","260","36","3.6","0.4","145","mildodour","","7.3","330","348","38","3.2","2","125","mildodour","","7.4","270","274","32","3","1.6","112","mildodour","","7.5","1580","1.15","8","50.63291139240506","odourless","","7.5","90","68","14","1.6","0.8","2.69","","2021-09-18","60f145d12287270012a59b6a","","5d9m68j1zv","2021-09-18T10:34:35.792Z","2021-09-18T10:35:17.468Z","0","2021-09-15T16:05","null"
"614705ac4894db001150424d","2021-09-15T12:50:17.271Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.5","2.3","10","0.005750000000000001","100000","0.0575","offensive","","7.2","350","424","48","4.2","4.8","170","odourless","","7.1","330","328","42","3.8","1.2","150","odourless","","7.1","300","282","36","3.6","0.6","142","mildodour","","7.2","280","300","38","4","2.4","160","mildodour","","7.3","220","224","28","3.2","2","120","mildodour","","7.4","1940","1.06","10","51.546391752577314","odourless","","7.6","110","64","18","2","1.2","1.24","","2021-09-19","60f145d12287270012a59b6a","","j6fxv2jb0a","2021-09-19T09:41:00.491Z","2021-09-19T09:41:56.701Z","0","2021-09-16T15:11","null"
"614860fa4894db00115044b0","2021-09-15T12:50:17.271Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.375","2.3","10","0.005462499999999999","100000","0.05462499999999999","offensive","","7.2","368","446","50","4.8","6.4","175","mildodour","","7.1","330","382","46","4.2","1.6","163","odourless","","7.2","290","360","42","4","0.8","153","mildodour","","7.2","270","324","38","3.6","2.8","170","mildodour","","7.3","190","216","32","3","2.2","135","mildodour","","7.4","1760","0.62","12","68.18181818181817","mildodour","","7.5","120","68","20","2","1.6","1.04","","2021-09-20","60f145d12287270012a59b6a","","mf378g2wrm","2021-09-20T10:22:50.702Z","2021-09-20T10:23:53.581Z","0","2021-09-17T11:55","null"
"6149b23a4894db00115048e9","2021-09-15T12:50:17.271Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.3125","2.3","10","0.00531875","100000","0.0531875","offensive","","7.2","334","384","34","3.5","4.8","180","odourless","","7.1","298","351","30","3","1.2","160","odourless","","7.3","260","326","28","2.5","0.6","142","mildodour","","7.3","272","388","21","2.2","2.2","173","mildodour","","7.4","168","192","18","1.5","1.6","133","mildodour","","7.5","2440","0.28","10","40.983606557377044","odourless","","7.5","110","64","15","1.2","1","0.38","","2021-09-21","60f145d12287270012a59b6a","","5lo44msvw2","2021-09-21T10:21:46.84Z","2021-09-21T10:22:30.54Z","0","2021-09-18T15:52","null"
"614b10b04894db0011504c1f","2021-09-15T12:50:17.271Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.53125","2.3","10","0.005821875","100000","0.05821874999999999","offensive","","7.2","330","320","37","3.6","5.2","204","mildodour","","7.2","270","294","32","3.2","1.6","163","odourless","","7.2","260","278","28","2.5","0.8","143","mildodour","","7.2","280","306","24","2.3","2","170","mildodour","","7.4","140","152","16","1.8","1.6","126","mildodour","","7.4","2210","0.55","14","63.348416289592755","mildodour","","7.5","120","68","13","1.5","1.2","1.07","","2021-09-22","60f145d12287270012a59b6a","","v6cfwwhmah","2021-09-22T11:17:04.456Z","2021-09-22T11:18:59.168Z","0","2021-09-19T16:48","null"
"614c4f704894db0011504daa","2021-09-15T12:50:17.271Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.4375","2.3","10","0.005606249999999999","100000","0.056062499999999994","offensive","","7.2","350","312","38","4","4.4","200","odourless","","7.1","290","286","34","3.6","1.2","180","odourless","","7.1","260","262","32","3","0.8","186","mildodour","","7.2","280","296","36","3.4","2.8","190","mildodour","","7.3","240","144","28","1.8","1.6","110","mildodour","","7.3","2090","0.88","18","86.1244019138756","mildodour","","7.5","100","62","12","1","1.2","1.08","","2021-09-23","60f145d12287270012a59b6a","","nitgsh7sqe","2021-09-23T09:57:04.391Z","2021-09-23T09:58:50.102Z","0","2021-09-20T15:28","null"
"614dafab2d2aed00132840ba","2021-09-23T11:35:28.842Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.453125","2.3","10","0.0056421875","100000","0.056421874999999996","offensive","","7.2","490","304","38","4.2","4.6","190","odourless","","7.1","440","272","36","3.4","1.2","182","odourless","","7.2","380","248","28","2.9","0.8","172","mildodour","","7.3","410","288","35","3.2","2.2","193","mildodour","","7.4","350","130","25","1.6","1.6","102","mildodour","","7.4","1860","0.69","14","75.26881720430107","odourless","","7.5","140","63","15","1.2","1.2","0.88","","2021-09-24","60f145d12287270012a59b6a","","5w2veuonvd","2021-09-24T10:59:55.354Z","2021-09-24T11:00:58.344Z","0","2021-09-21T11:30","null"
"614efbe02d2aed00132841b4","2021-09-23T11:35:28.842Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.5","2.3","10","0.005750000000000001","100000","0.0575","offensive","","7.1","480","292","42","4","4.2","174","mildodour","","7.1","450","268","35","3.8","1.6","163","odourless","","7.2","390","236","32","3.5","0.6","153","mildodour","","7.3","400","270","36","2.8","2.4","168","mildodour","","7.4","340","182","27","1.8","1.8","92","mildodour","","7.5","1990","0.56","8","40.20100502512563","odourless","","7.6","160","64","18","1.5","1.2","0.73","","2021-09-25","60f145d12287270012a59b6a","","sla9s0iwwh","2021-09-25T10:37:20.413Z","2021-09-25T10:39:00.773Z","0","2021-09-22T16:07","null"
"615040902d2aed0013284248","2021-09-23T11:35:28.842Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.484375","2.3","10","0.0057140625","100000","0.057140625","offensive","","7.2","450","312","42","4","4.8","160","odourless","","7.1","420","276","36","3.8","1.2","156","odourless","","7.1","380","248","32","3.6","0.6","140","mildodour","","7.2","350","260","34","3.2","2","152","mildodour","","7.3","310","172","28","2.8","1.6","80","mildodour","","7.3","1960","0.32","10","51.02040816326531","odourless","","7.5","130","56","22","2","0.8","0.84","","2021-09-26","60f145d12287270012a59b6a","","puvr0ef8xi","2021-09-26T09:42:40.393Z","2021-09-26T09:43:34.18Z","0","2021-09-23T15:13","null"
"61519f5b2d2aed00132845a1","2021-09-23T11:35:28.842Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.125","2.3","10","0.0048874999999999995","100000","0.048874999999999995","offensive","","7.2","440","324","36","3.4","4.6","165","odourless","","7.1","400","290","32","3","1.2","143","odourless","","7.1","390","274","30","2.8","0.6","138","mildodour","","7.3","420","284","34","3.2","2.4","163","mildodour","","7.4","360","164","28","2.4","1.6","77","mildodour","","7.5","1880","0.26","8","42.5531914893617","mildodour","","7.6","100","59","20","1.8","1.2","1.12","","2021-09-27","60f145d12287270012a59b6a","","emvqxb29xj","2021-09-27T10:39:23.615Z","2021-09-27T10:40:54.737Z","0","2021-09-24T10:09","null"
"6152f16aa8518300111816fb","2021-09-27T16:58:25.966Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.390625","2.3","10","0.0054984375","100000","0.054984374999999995","offensive","","7.8","420","338","42","3.8","4","152","mildodour","","7.3","380","298","38","3.6","1.6","144","odourless","","7.1","370","262","34","3","0.8","120","mildodour","","7.2","390","290","38","3.4","2.4","140","mildodour","","7.3","260","178","26","2","2","90","mildodour","","7.5","1990","0.18","10","50.25125628140704","mildodour","","7.6","120","60","18","1.4","1.2","1.24","","2021-09-28","60f145d12287270012a59b6a","","2w0wqo8g1o","2021-09-28T10:41:46.083Z","2021-09-28T10:42:52.44Z","0","2021-09-25T16:12","null"
"61581baabf39d500113b346e","2021-09-29T03:31:39.436Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.4375","2.3","10","0.005606249999999999","100000","0.056062499999999994","offensive","","7.5","420","310","38","3.7","4.4","155","odourless","","7.2","380","288","32","3","1.2","142","odourless","","7.1","360","258","30","3.2","0.8","135","mildodour","","7.3","380","867","28","3.5","2","150","mildodour","","7.4","120","148","20","2.5","1.6","74","odourless","","7.5","1870","0.16","10","53.475935828877006","mildodour","","7.6","90","68","16","1.4","1.6","0.92","","2021-10-02","60f145d12287270012a59b6a","","u6o2ltq5nb","2021-10-02T08:43:22.527Z","2021-10-02T08:44:23.212Z","0","2021-09-29T14:13","null"
"615d7e96bf39d500113b36a9","2021-09-29T03:31:39.436Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.734375","2.3","10","0.006289062499999999","100000","0.06289062499999999","offensive","","7.4","390","300","41","4","4.4","144","mildodour","","7.2","370","288","37","3.8","2","140","odourless","","7.1","360","294","35","3.5","1.2","132","mildodour","","7.3","380","272","38","3","2.4","142","mildodour","","7.4","380","272","38","3","2.4","75","mildodour","","7.4","1910","0.22","8","41.88481675392671","mildodour","","7.6","130","71","12","1.5","1.6","0.48","","2021-10-06","60f145d12287270012a59b6a","","2hytgpc9lw","2021-10-06T10:46:46.2Z","2021-10-06T10:48:49.876Z","0","2021-10-03T16:18","null"
"61602122bf39d500113b3861","2021-09-29T03:31:39.436Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.484375","2.3","10","0.0057140625","100000","0.057140625","offensive","","7.2","400","332","38","3.4","4.4","150","mildodour","","7.1","380","294","32","3","1.6","145","odourless","","7.1","370","288","30","2.8","0.8","142","odourless","","7.3","390","302","36","2.8","0.8","140","odourless","","7.4","160","160","20","1.8","1.2","64","odourless","","7.5","1870","0.16","10","53.475935828877006","odourless","","7.6","120","70","14","1.2","1","1.34","","2021-10-08","60f145d12287270012a59b6a","","03pe9xzgce","2021-10-08T10:44:50.222Z","2021-10-08T10:46:50.821Z","0","2021-10-05T13:15","null"
"6162b44803799c0012cac214","2021-10-09T05:26:23.159Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","1.9609375","2.3","10","0.004510156249999999","100000","0.0451015625","offensive","","7.4","400","342","36","4.5","4","156","odourless","","7.1","380","324","34","4.3","1.2","153","odourless","","7.1","380","330","35","4.2","0.6","145","mildodour","","7.3","390","336","32","4","1.8","159","odourless","","7.4","150","168","20","2","1","70","odourless","","7.5","1890","0.12","10","52.910052910052904","odourless","","7.5","100","64","16","1.4","0.8","0.62","","2021-10-09","60f145d12287270012a59b6a","","4i4cap86pf","2021-10-10T09:37:12.16Z","2021-10-10T09:38:56.725Z","0","2021-10-09T23:09","null"
"6164129303799c0012cac3af","2021-10-09T05:26:23.159Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.375","2.3","10","0.005462499999999999","100000","0.05462499999999999","offensive","","7.2","410","364","40","3.8","4.4","155","mildodour","","7.3","390","296","32","3.4","1.6","null","odourless","","7.3","380","312","36","3","0.8","null","mildodour","","7.4","400","284","37","3.5","2.2","null","mildodour","","7.5","190","184","30","2.8","1.6","null","odourless","","7.5","1960","0.24","8","40.816326530612244","odourless","","7.6","110","68","16","1.8","1.2","1.52","","2021-10-10","60f145d12287270012a59b6a","","dzec18xqf2","2021-10-11T10:31:47.043Z","2021-10-11T10:33:34.092Z","0","2021-10-07T13:02","null"
"616a9dc300f462001212552b","2021-10-13T10:09:30.968Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.171875","2.3","10","0.0049953125","100000","0.049953125","offensive","","7.3","420","402","42","4","4.8","183","mildodour","","7.2","390","386","36","3.8","1.2","169","odourless","","7.4","360","352","32","3.5","0.6","164","mildodour","","7.4","380","368","36","3.6","2.4","178","","","7.5","290","276","32","3","2","107","mildodour","","7.5","1980","0.16","36","181.8181818181818","mildodour","","7.6","170","81","16","1.4","1.6","1.46","","2021-10-16","60f145d12287270012a59b6a","","j881sjx0nq","2021-10-16T09:39:15.518Z","2021-10-16T09:41:38.545Z","0","2021-10-13T12:09","null"
"616bed6600f46200121255c9","2021-10-13T10:09:30.968Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.21875","2.3","10","0.005103124999999999","100000","0.05103124999999999","offensive","","7.4","410","424","40","3.8","4.6","150","mildodour","","7.3","390","398","38","3.6","1.6","140","odourless","","7.2","380","392","35","3.2","0.8","132","mildodour","","7.3","360","402","36","3.5","2.6","145","mildodour","","7.4","260","260","22","2","1.6","90","odourless","","7.4","1960","0.28","8","40.816326530612244","odourless","","7.5","180","84","18","1.5","1.2","1.24","","2021-10-17","60f145d12287270012a59b6a","","debl3ltwuy","2021-10-17T09:31:18.872Z","2021-10-17T09:32:08.201Z","0","2021-10-14T12:01","null"
"616d3f6826e4c30012fdccf6","2021-10-18T09:25:27.621Z","","","","","","","","","","","","","","","","","","","","","","","","","False","automatic","2.21875","2.3","10","0.005103124999999999","100000","0.05103124999999999","offensive","","7.2","350","296","36","3.4","3.2","160","odourless","","7.2","340","284","34","3.2","0.8","145","odourless","","7.1","330","280","30","3","0.4","140","odourless","","7.2","340","286","35","3.2","2","158","odourless","","7.3","200","174","16","1.2","1.2","100","odourless","","7.4","1690","0.24","8","47.337278106508876","odourless","","7.5","70","54","12","1","1","1.12","","2021-10-18","60f145d12287270012a59b6a","","b9j86tyuvv","2021-10-18T09:33:28.493Z","2021-10-18T09:34:32.163Z","0","2021-10-15T15:03","null"
