_id__$oid,last_updated__$date,is_deleted,custom_dosing_data__dosing_mode,custom_dosing_data__flow,custom_dosing_data__applied_dose,custom_dosing_data__applied_dose_outlet,raw_sewage__turbidity,raw_sewage__ph,raw_sewage__cod,raw_sewage__tss,raw_sewage__ammonia,raw_sewage__phosphate,raw_sewage__bod,pst_outlet__turbidity,pst_outlet__ph,pst_outlet__cod,pst_outlet__tss,pst_outlet__ammonia,pst_outlet__phosphate,pst_outlet__bod,at__ph,at__mlss,at__do,at__percent_settlement,at__svi,fst__time,fst__turbidity,fst__ph,fst__cod,fst__tss,fst__ammonia,fst__phosphate,fst__do,fst__bod,date,inlet_dosing,outlet_dosing,,,,,,,,
61c05cf1a8ef0b00128ce199,2021-12-19T18:30:36.641Z,FALSE,automatic,0.72,0.003,0.03,260,7.35,340,262,41,2.1,153,76,7.37,160,78,37,1.8,83,7.6,1590,1.6,16,100.6289308,,9.17,7.62,30,10,23,0.4,1.52,6,12/17/2021,,,,,,,,,,
61c30d4567bf350012745bfa,2021-12-21T18:30:38.804Z,FALSE,automatic,0.66,0.003,0.03,270,7.27,340,272,42,2,145,84.01,7.44,170,84,38,1.5,80,7.53,1260,1.86,13,103.1746032,,9.32,7.62,20,10,22,0.4,1.68,5,12/18/2021,0.651041667,74.99831746,,,,,,,,
61c30f8267bf350012745c88,2021-12-21T18:30:38.804Z,FALSE,automatic,0.63,0.003,0.03,259,7.49,370,260,40,1.5,148,78.8,7.54,170,80,27,0.5,73,7.69,1200,1.8,12,100,,7.56,7.62,20,8,21,0.4,1.69,4,12/19/2021,0,64.55237441,,,,,,,,
61c40e67e9acec00117396b1,2021-12-23T05:36:48.431Z,FALSE,automatic,0.73,0.003,0.03,269,7.36,350,270,42,1.4,148,62.7,7.42,160,66,35,1.1,60,7.56,1000,1.65,11,110,,8.62,7.62,20,9,28,0.5,1.52,5,12/20/2021,0,69.61521498,,,,,,,,
61c40f1ee9acec001173971b,2021-12-23T05:36:48.431Z,FALSE,automatic,0.69,0.003,0.03,247,7.41,320,248,38,1.2,128,70.1,7.55,150,68,30,0.7,63,7.36,780,1.68,8,102.5641026,,7.38,7.48,20,8,24,0.4,1.55,4,12/21/2021,6.544508931,90.44901436,,,,,,,,
61c424bee9acec00117398d6,2021-12-23T05:36:48.431Z,FALSE,automatic,0.68,0.003,0.03,271,7.49,350,272,36,1.8,148,72.3,7.57,130,70,29,0.8,58,7.68,1290,1.54,11,85.27131783,,8.46,7.61,20,7,25,0.5,1.49,4,12/22/2021,0,85.24136471,,,,,,,,
61c588a6cbd9a30012a05ef7,2021-12-23T18:30:41.388Z,FALSE,automatic,0.46484375,0.003,0.03,227,7.49,360,228,42,1.7,148,78.1,7.44,160,76,27,0.6,70,7.63,1760,1.42,20,113.6363636,,6.27,7.61,20,7,24,0.3,1.4,3,12/23/2021,0,79.97862579,,,,,,,,
61c970e3d02e53001132f176,2021-12-26T18:30:40.271Z,FALSE,automatic,0.71,0.003,0.03,261,7.51,350,262,41,2.6,141,74.2,7.53,150,72,30,0.6,65,7.58,1300,1.4,16,123.0769231,,7.52,7.62,20,8,20,0.7,1.58,4,12/24/2021,0,85.19766897,,,,,,,,
61c971ebd02e53001132f1f5,2021-12-26T18:30:40.271Z,FALSE,automatic,0.69,0.003,0.03,231,7.54,380,232,40,2.1,155,97.3,7.49,180,96,27,0.7,85,7.69,1420,1.86,18,126.7605634,,6.18,7.65,10,7,23,0.5,1.79,3,12/25/2021,0,79.94557712,,,,,,,,
61c9726cd02e53001132f23f,2021-12-26T18:30:40.271Z,FALSE,automatic,0.61328125,0.003,0.03,241,7.39,350,242,42,1.7,145,88.4,7.54,170,90,26,0.6,87,7.69,1460,1.68,19,130.1369863,,5.38,7.67,10,6,24,0.5,1.57,3,12/26/2021,0.651041667,85.14211714,,,,,,,,
61cc1ed7bc5dd80012b1875e,2021-12-28T18:30:36.902Z,FALSE,automatic,0.703125,0.003,0.03,268,7.47,400,270,35,1.5,155,82.45,7.28,180,82,32,1.4,68,7.46,1620,1.96,18,111.1111111,,9.64,7.73,20,10,20,0.5,1.75,4,12/28/2021,0.325520833,84.94610707,,,,,,,,
61ce9f2dc7deaf00114443cc,2021-12-30T18:30:39.926Z,FALSE,automatic,0.68,0.003,0.03,269,7.43,370,270,40,1.5,155,93.2,7.51,170,92,27,0.6,75,7.69,1610,1.48,15,93.16770186,,7.51,7.64,20,8,24,0.5,1.44,4,12/29/2021,0,220.0732599,,,,,,,,
61d3e5a6f916bd00121c7906,2022-01-04T05:25:51.298Z,FALSE,automatic,0.7109375,0.003,0.03,255,7.39,320,256,40,2,140,81.6,7.5,170,80,30,0.5,70,7.48,1580,1.84,16,101.2658228,,6.48,7.56,10,7,28,0.4,1.68,3,12/30/2021,0,0,,,,,,,,
61d3e69ef916bd00121c7980,2022-01-04T05:25:51.298Z,FALSE,automatic,0.71,0.003,0.03,223,7.99,340,224,38,2.1,145,73.2,7.95,160,72,26,0.6,67,7.88,1130,1.67,14,123.8938053,,6.24,7.96,10,7,24,0.3,1.79,2,12/31/2021,0,74.62573012,,,,,,,,
