_id__$oid,last_updated__$date,is_deleted,custom_dosing_data__dosing_mode,custom_dosing_data__applied_dose,custom_dosing_data__applied_dose_outlet,custom_dosing_data__flow,raw_sewage__time,raw_sewage__turbidity,raw_sewage__ph,raw_sewage__cod,raw_sewage__tss,raw_sewage__ammonia,raw_sewage__phosphate,raw_sewage__bod,raw_sewage__fst,pst_outlet__time,pst_outlet__turbidity,pst_outlet__ph,pst_outlet__cod,pst_outlet__tss,pst_outlet__ammonia,pst_outlet__bod,at__time,at__ph,at__mlss,at__do,at__percent_settlement,at__svi,fst__time,fst__turbidity,fst__ph,fst__cod,fst__tss,fst__ammonia,fst__phosphate,fst__do,fst__bod,remarks,date
62cfd76fc3c98700138500c4,2022-07-13T18:30:09.317Z,False,automatic,,30.0,1.0859375,,,7.5,,240,45,3.0,157.0,,,,7.4,,168.0,,,,7.7,1570.0,0.88,14,89.17197452229298,,,7.7,,10,5.0,1.0,1.12,10.0,,2022-07-10
62d79b93da8ef80013c38a94,2022-07-19T18:30:10.235Z,False,automatic,,30.0,1.1015625,,,7.5,640.0,460,50,3.5,238.0,,,,7.5,,176.0,,137.0,,7.6,600.0,0.42,10,166.66666666666666,,,7.7,40.0,14,5.0,0.2,2.98,13.0,,2022-07-11
62d79c4ada8ef80013c38ae4,2022-07-19T18:30:10.235Z,False,automatic,,30.0,1.109375,,,7.5,,408,45,3.5,268.0,,,,7.6,,,,,,7.5,470.0,0.8,3,63.82978723404255,,,7.5,,10,5.0,1.0,0.0,9.0,,2022-07-12
62d79e14da8ef80013c38b5d,2022-07-19T18:30:10.235Z,False,automatic,,30.0,1.0546875,,,7.6,,544,45,4.0,286.0,,,,7.5,,224.0,,,,7.5,360.0,1.02,1,27.77777777777777,,,7.6,,16,10.0,1.0,1.26,7.0,,2022-07-13
62d79edcda8ef80013c38bad,2022-07-19T18:30:10.235Z,False,automatic,,30.0,1.03125,,,7.5,,528,40,4.5,300.0,,,,7.4,,192.0,,127.0,,7.6,440.0,1.4,2,45.45454545454545,,,7.7,,15,10.0,1.0,1.8,12.0,,2022-07-14
62d91cb02927b1001062c229,2022-07-20T18:30:09.994Z,False,automatic,,30.0,1.0625,,,7.6,,856,35,4.0,222.0,,,,7.4,,132.0,,,,7.6,1690.0,1.2,14,82.84023668639054,,,7.9,,10,10.0,1.0,1.28,10.0,,2022-07-15
62d920b32927b1001062c309,2022-07-20T18:30:09.994Z,False,automatic,,30.0,1.05,,,7.7,1440.0,884,45,3.0,350.0,,,,7.6,,204.0,,,,7.6,2060.0,1.24,18,87.37864077669903,,,7.5,32.0,10,15.0,0.5,2.14,8.0,,2022-07-16
62d9211f2927b1001062c34f,2022-07-20T18:30:09.994Z,False,automatic,,30.0,1.04,,,7.5,872.0,568,40,3.5,340.0,,,,7.6,0.0,168.0,,123.0,,7.7,2210.0,1.06,19,85.97285067873302,,,7.7,40.0,13,10.0,1.5,1.92,10.0,,2022-07-17
62d921c92927b1001062c3a7,2022-07-20T18:30:09.994Z,False,automatic,,30.0,1.08,,,7.5,,520,45,4.5,223.0,,,,7.5,,188.0,,139.0,,7.7,1460.0,1.12,18,123.2876712328767,,,7.7,,15,10.0,1.0,2.36,11.0,,2022-07-18
62e107b1dc7cad00125ee374,2022-07-26T18:30:09.85Z,False,automatic,,30.0,1.0859375,,,7.5,680.0,436,45,4.0,320.0,,,,7.4,,240.0,,,,7.6,2480.0,1.21,15,60.483870967741936,,,7.7,30.0,16,15.0,1.5,1.84,10.0,,2022-07-19
62e10834dc7cad00125ee3c4,2022-07-26T18:30:09.85Z,False,automatic,,30.0,1.171875,,,7.5,592.0,316,45,4.0,163.0,,,,7.5,,200.0,,95.0,,7.7,1790.0,0.92,12,67.0391061452514,,,7.7,112.0,15,35.0,1.0,1.02,13.0,,2022-07-20
62e1090adc7cad00125ee41a,2022-07-26T18:30:09.85Z,False,automatic,,30.0,1.15625,,,7.5,380.0,284,35,2.5,188.0,,,,7.4,,168.0,,,,7.6,1410.0,1.32,10,70.92198581560284,,,7.8,140.0,20,10.0,0.5,1.96,12.0,,2022-07-21
62e10a85dc7cad00125ee4b6,2022-07-26T18:30:09.85Z,False,automatic,,30.0,1.1015625,,,7.7,540.0,276,35,2.5,154.0,,,,7.5,,172.0,,67.0,,7.5,2190.0,1.12,10,45.662100456621005,,,7.7,40.0,18,10.0,1.0,2.04,11.0,,2022-07-22
62e10bb1dc7cad00125ee502,2022-07-26T18:30:09.85Z,False,automatic,,30.0,1.078125,,,7.5,740.0,432,35,2.0,167.0,,,,7.4,,160.0,,,,7.6,1440.0,1.32,8,55.55555555555555,,,7.8,48.0,24,10.0,1.0,2.16,18.0,,2022-07-23
62e10c4bdc7cad00125ee552,2022-07-26T18:30:09.85Z,False,automatic,,30.0,1.0859375,,,7.4,,524,45,3.0,200.0,,,,7.3,,196.0,,,,7.5,1510.0,1.0,10,66.22516556291392,,,7.6,,18,10.0,1.5,1.88,13.0,,2022-07-24
62e10e22dc7cad00125ee5cd,2022-07-26T18:30:09.85Z,False,automatic,,30.0,1.0703125,,,7.5,720.0,496,35,3.5,720.0,,,,7.5,,228.0,,,,7.8,2300.0,0.86,8,34.78260869565217,,,7.7,58.0,26,10.0,1.5,1.28,58.0,,2022-07-25
62ea39964444d6001274b85a,2022-08-02T18:30:10.727Z,False,automatic,,30.0,1.046875,,,7.6,960.0,616,40,3.5,345.0,,,,7.5,,268.0,,,,7.7,1900.0,0.82,10,52.63157894736842,,,7.7,42.0,24,20.0,1.5,1.64,17.0,,2022-07-26
62ea39de4444d6001274b893,2022-08-02T18:30:10.727Z,False,automatic,,30.0,1.09375,,,7.6,700.0,336,40,4.0,193.0,,,,7.5,,168.0,,108.0,,7.7,1970.0,0.64,11,55.83756345177665,,,7.7,38.0,18,15.0,2.0,1.82,12.0,,2022-07-27
